aqu	root	water	Latin	aqua,aquaculture,aquamarine,aquanaut	v:1	aqu(0)=water	c:0	aqua
ar	prefix	to, toward	Latin	arraign,arrange,arrangement,arrest	v:2	ar-(0)=to, toward | -ar1(1)=of, pertaining to, or resembling	c:2	
arbor	root	tree	Latin	arbor,Arbor Day,arboreal,arborescent	v:1	arbor(0)=tree	c:0	
arch	root	first in rank or time	Greek	anarchy,archaeology,archaic,archaism	v:1	arch(0)=first in rank or time	c:0	archi/archearchae/archeo/archaeo/archy
arian	suffix	one believing in; one associated with; one having (age)	Latin	agrarian,antiquarian,authoritarian,centenarian	v:1	-arian(0)=one believing in; one associated with; one having (age)	c:0	
arium	suffix	a place for	Latin	aquarium,auditorium,cinerarium,herbarium	v:1	-arium(0)=a place for	c:0	orium
arm	root	arms, weapons	Latin	armada,armadillo,armament,armature	v:1	arm(0)=arms, weapons	c:0	
arthr	root	joint	Greek	arthralgia,arthritis,arthropod,arthroscope	v:1	arthr(0)=joint	c:0	arthro
ary	suffix	a person, thing, or place associated with	Latin	adversary,apiary,aviary,beneficiary	v:2	-ary2(2)=a person, thing, or place associated with | -ary1(1)=like, of, related to	c:1	
as	prefix	to, toward	Latin	ascertain,assent,assert,assign	v:1	as-(0)=to, toward	c:0	
asper	root	rough	Latin	asperity,exasperate,exasperation	v:1	asper(0)=rough	c:0	
astr	root	star	Greek	aster,asterisk,asterism,asteroid	v:1	astr(0)=star	c:0	aster/astro
at	prefix	to, toward	Latin	attach,attain,attend,attendance	v:1	at-(0)=to, toward	c:0	
ate	suffix	to make, cause, do	Latin	abbreviate,abdicate,abnegate,accelerate	v:1	-ate1(1)=to make, cause, do	c:0	
ation	suffix	the act, process, or result of	Latin	aberration,acceptation,accusation,admiration	v:1	-ation(0)=the act, process, or result of	c:0	
ator	suffix	a person or thing that does	Latin	alternator,aviator,conspirator,dictator	v:1	-ator(0)=a person or thing that does	c:0	
atory	suffix	place associated with	Latin	laboratory,observatory,purgatory,reformatory	v:1	-atory1(1)=place associated with	c:0	
au	root	bird	Latin	augur,augury,auspicious,avian	v:1	au(0)=bird	c:0	avi
aud	root	hear	Latin	audible,audience,audio,audiology	v:1	aud(0)=hear	c:0	audit/audio
aut	prefix	self	Greek	autarchy,autarky,autism,autobiography	v:1	aut(0)=self	c:0	auto
ax	root	axis	Latin	axial,axiology,axis,axle	v:1	ax(0)=axis	c:0	
bar	root	pressure, weight	Greek	aneroid barometer,bariatrics,barite,barograph	v:1	bar(0)=pressure, weight	c:0	baro
bat	root	beat	Latin	abate,batter1,battle,combat	v:1	bat(0)=beat	c:0	
be	prefix	to cover or surround with; to act on or change another.	Old English	bedaub,bedazzle,bedeck,bedevil	v:1	be-(0)=to cover or surround with; to act on or change another.	c:0	
bell	root	war	Latin	antebellum,bellicose,belligerency,belligerent	v:1	bell(0)=war	c:0	belli
